('Calibration Fields_Raw_DN_Signal_293', [21.993437, 114.504425])
('Data_load_state', [0, 65531])
('Calibration Fields_Workmode_Tele', [0, 255])
('Satellite Telemetry Data_Radar_primary_backup_status_1', [2.0860406947688504e-308, 3.9788])
('Calibration Fields_Raw_DN_Signal_236', [0.0, 114.01968])
('Calibration Fields_Raw_DN_Signal_31', [21.343365, 114.89538])
('Calibration Fields_Raw_DN_Signal_294', [21.258877, 114.38715])
('Calibration Fields_Raw_DN_Signal_1063', [21.78977, 102.869255])
('Calibration Fields_Raw_DN_Signal_100', [21.172712, 114.00811])
('Calibration Fields_Raw_DN_Signal_1061', [18.903511, 102.43836])
('Calibration Fields_Raw_DN_Signal_1060', [19.923326, 101.74841])
('Calibration Fields_Raw_DN_Signal_1066', [53.724995, 117.87155])
('Calibration Fields_Raw_DN_Signal_1065', [17.999863, 102.29041])
('Calibration Fields_Raw_DN_Signal_1064', [20.760029, 102.12386])
('Calibration Fields_Internal_Cali_value_0', [0.0, 131.07])
('Calibration Fields_Raw_DN_Signal_234', [20.614054, 114.46708])
('Calibration Fields_Raw_DN_Signal_235', [19.354443, 114.05419])
('Calibration Fields_Raw_DN_Signal_237', [20.834578, 101.57954])
('Calibration Fields_RotationNumber', [0, 65535])
('Calibration Fields_Raw_DN_Signal_233', [15.181025, 114.50855])
('Calibration Fields_Workstatus', [0, 51456])
('Calibration Fields_Raw_DN_Signal_230', [20.41886, 114.90669])
('Satellite Telemetry Data_Condition_monitor_27', [2.0860385728054386e-308, 10.367349])
('Calibration Fields_Raw_DN_Signal_108', [21.449633, 114.932976])
('Calibration Fields_Raw_DN_Signal_109', [20.018959, 114.95911])
('Data_ServoControlworkmode', [0, 254])
('Calibration Fields_Raw_DN_Signal_68', [20.283678, 114.06792])
('Calibration Fields_Raw_DN_Signal_69', [18.996838, 114.47956])
('Data_EEPRom_state', [0, 65533])
('Calibration Fields_Raw_DN_Signal_62', [20.611696, 113.77253])
('Calibration Fields_Raw_DN_Signal_63', [20.71882, 114.98508])
('Calibration Fields_Raw_DN_Signal_60', [19.213614, 101.561775])
('Calibration Fields_Raw_DN_Signal_61', [19.89561, 114.899155])
('Calibration Fields_Raw_DN_Signal_66', [16.400465, 114.10885])
('Calibration Fields_Raw_DN_Signal_67', [20.072676, 114.549644])
('Calibration Fields_Raw_DN_Signal_64', [22.105192, 113.75292])
('Calibration Fields_Raw_DN_Signal_65', [0.0, 114.89538])
('Calibration Fields_Raw_DN_Signal_175', [22.424171, 111.668274])
('Calibration Fields_Raw_DN_Signal_174', [21.0721, 114.471245])
('Calibration Fields_Raw_DN_Signal_177', [21.201624, 102.512535])
('Calibration Fields_Raw_DN_Signal_176', [22.352127, 113.93335])
('Calibration Fields_Raw_DN_Signal_171', [0.0, 113.72087])
('Calibration Fields_Raw_DN_Signal_170', [0.0, 114.90292])
('Calibration Fields_Raw_DN_Signal_173', [0.0, 114.50855])
('Calibration Fields_Raw_DN_Signal_172', [0.0, 114.53326])
('Calibration Fields_Raw_DN_Signal_676', [0.0, 102.15281])
('Calibration Fields_Raw_DN_Signal_677', [0.0, 102.18376])
('Calibration Fields_Raw_DN_Signal_674', [0.0, 101.78721])
('Calibration Fields_Raw_DN_Signal_675', [0.0, 102.89552])
('Calibration Fields_Raw_DN_Signal_179', [20.921062, 102.15946])
('Calibration Fields_Raw_DN_Signal_178', [17.882126, 101.49258])
('Calibration Fields_Raw_DN_Signal_670', [0.0, 102.6095])
('Calibration Fields_Raw_DN_Signal_671', [0.0, 102.292564])
('Calibration Fields_Raw_DN_Signal_188', [21.469028, 114.10205])
('Calibration Fields_Raw_DN_Signal_189', [19.74857, 114.462906])
('Calibration Fields_Raw_DN_Signal_232', [21.896307, 114.53326])
('Calibration Fields_Raw_DN_Signal_180', [21.279142, 100.298805])
('Calibration Fields_Raw_DN_Signal_181', [23.085644, 111.4651])
('Calibration Fields_Raw_DN_Signal_182', [23.441465, 114.89538])
('Calibration Fields_Raw_DN_Signal_183', [16.798252, 114.75725])
('Calibration Fields_Raw_DN_Signal_184', [21.126888, 112.25414])
